IEC CDD Code,UnitId,DisplayName,Description
0112/2///62720#UAA388,705744664,cm³/d,cubic centimetre per day
0112/2///62720#UAA389,705744665,cm³/(d·K),cubic centimetre per day kelvin
0112/2///62720#UAA390,705744688,cm³/(d·bar),cubic centimetre per day bar
0112/2///62720#UAA391,705744689,cm³/h,cubic centimetre per hour
0112/2///62720#UAA392,705744690,cm³/(h·K),cubic centimetre per hour kelvin
0112/2///62720#UAA393,705744691,cm³/(h·bar),cubic centimetre per hour bar
0112/2///62720#UAA394,705744692,cm³/m³,cubic centimetre per cubic metre
0112/2///62720#UAA395,705744693,cm³/min,cubic centimetre per minute
0112/2///62720#UAA396,705744694,cm³/(min·K),cubic centimetre per minute kelvin
0112/2///62720#UAA397,705744695,cm³/(min·bar),cubic centimetre per minute bar
0112/2///62720#UAA398,705744696,cm³/mol,cubic centimetre per mole
0112/2///62720#UAA399,705744697,cm³/s,cubic centimetre per second
0112/2///62720#UAA400,705745424,cm³/(s·K),cubic centimetre per second kelvin
0112/2///62720#UAA401,705745425,cm³/(s·bar),cubic centimetre per second bar
0112/2///62720#UAA402,705745426,cmH₂O,conventional centimetre of water
0112/2///62720#UAA403,705745427,cmHg,centimetre of mercury
0112/2///62720#UAA404,705745428,cup (US),cup (US)
0112/2///62720#UAA405,705745429,cwt.l (UK),hundred weight (UK)
0112/2///62720#UAA406,705745430,cwt (US),hundred pound (cwt) / hundred weight (US)
0112/2///62720#UAA407,705745431,d,day
0112/2///62720#UAA408,705745432,d⁻¹,reciprocal day
0112/2///62720#UAA409,705745433,dB,decibel
0112/2///62720#UAA410,705745456,dB/km,decibel per kilometre
0112/2///62720#UAA411,705745457,dB/m,decibel per metre
0112/2///62720#UAA412,705745458,dm,decimetre
0112/2///62720#UAA413,705745459,dm²,square decimetre
0112/2///62720#UAA414,705745460,dm³,cubic decimetre
0112/2///62720#UAA415,705745461,dm³/d,cubic decimetre per day
0112/2///62720#UAA416,705745462,dm³/h,cubic decimetre per hour
0112/2///62720#UAA417,705745463,dm³/m³,cubic decimetre per cubic metre
0112/2///62720#UAA418,705745464,dm³/min,cubic decimetre per minute
0112/2///62720#UAA419,705745465,dm³/mol,cubic decimetre per mole
0112/2///62720#UAA420,705745488,dm³/s,cubic decimetre per second
0112/2///62720#UAA421,705745489,dpi,dots per inch
0112/2///62720#UAA422,705745490,dyn,dyne
0112/2///62720#UAA423,705745491,dyn·cm,dyne centimetre
0112/2///62720#UAA424,705745492,dyn/cm²,dyne per square centimetre
0112/2///62720#UAA425,705745493,eV,electronvolt
0112/2///62720#UAA426,705745494,eV/m,electronvolt per metre
0112/2///62720#UAA427,705745495,eV·m²,electronvolt square metre
0112/2///62720#UAA428,705745496,eV·m²/kg,electronvolt square metre per kilogram
0112/2///62720#UAA429,705745497,erg,erg
0112/2///62720#UAA430,705745520,erg/s,erg per second
0112/2///62720#UAA431,705745521,fl oz (UK),fluid ounce (UK)
0112/2///62720#UAA432,705745522,fl oz (UK)/d,ounce (UK fluid) per day
